ENSEMBL	ENTREZID	SYMBOL	GENENAME
ENSG00000171533	4135	MAP6	microtubule associated protein 6
ENSG00000226084	645441	RPL17P6	ribosomal protein L17 pseudogene 6
ENSG00000020181	25960	ADGRA2	adhesion G protein-coupled receptor A2
ENSG00000235703	100272228	EOLA2-DT	EOLA2 divergent transcript
ENSG00000131096	5697	PYY	peptide YY
ENSG00000108001	253738	EBF3	EBF transcription factor 3
ENSG00000128710	3236	HOXD10	homeobox D10
ENSG00000143171	6258	RXRG	retinoid X receptor gamma
ENSG00000228486	728537	C2orf92	chromosome 2 open reading frame 92
ENSG00000128709	3235	HOXD9	homeobox D9
ENSG00000169760	22871	NLGN1	neuroligin 1
ENSG00000235387	158376	SPAAR	small regulatory polypeptide of amino acid response
ENSG00000176697	627	BDNF	brain derived neurotrophic factor
ENSG00000157796	57728	WDR19	WD repeat domain 19
ENSG00000132321	79781	IQCA1	IQ motif containing with AAA domain 1
ENSG00000137960	54810	GIPC2	GIPC PDZ domain containing family member 2
ENSG00000236751	NA	NA	NA
ENSG00000140043	145482	PTGR2	prostaglandin reductase 2
ENSG00000036672	9099	USP2	ubiquitin specific peptidase 2
ENSG00000266524	2662	GDF10	growth differentiation factor 10
ENSG00000258376	NA	NA	NA
ENSG00000124479	4693	NDP	norrin cystine knot growth factor NDP
ENSG00000168874	84913	ATOH8	atonal bHLH transcription factor 8
ENSG00000080854	22997	IGSF9B	immunoglobulin superfamily member 9B
ENSG00000250305	57604	TRMT9B	tRNA methyltransferase 9B (putative)
ENSG00000166250	79827	CLMP	CXADR like membrane protein
ENSG00000154133	54538	ROBO4	roundabout guidance receptor 4
ENSG00000166770	100128252	ZNF667-AS1	ZNF667 antisense RNA 1 (head to head)
ENSG00000077616	10003	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2
ENSG00000236155	101928303	ZPLD2P	zona pellucida like domain containing 2, pseudogene
ENSG00000186665	284018	C17orf58	chromosome 17 open reading frame 58
ENSG00000273079	2904	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B
ENSG00000196208	9687	GREB1	growth regulating estrogen receptor binding 1
ENSG00000197576	3201	HOXA4	homeobox A4
ENSG00000179071	220388	CCDC89	coiled-coil domain containing 89
ENSG00000259065	NA	NA	NA
ENSG00000150760	1793	DOCK1	dedicator of cytokinesis 1
ENSG00000186994	256949	KANK3	KN motif and ankyrin repeat domains 3
ENSG00000267056	729654	LOC729654	inositol polyphosphate multikinase pseudogene
ENSG00000161281	1346	COX7A1	cytochrome c oxidase subunit 7A1
ENSG00000171444	4163	MCC	MCC regulator of WNT signaling pathway
ENSG00000276846	NA	NA	NA
ENSG00000284485	406988	MIR205	microRNA 205
ENSG00000132622	116835	HSPA12B	heat shock protein family A (Hsp70) member 12B
ENSG00000283674	729732	LOC729732	uncharacterized LOC729732
ENSG00000197757	3223	HOXC6	homeobox C6
ENSG00000259129	100506433	LINC00648	long intergenic non-protein coding RNA 648
ENSG00000275612	NA	NA	NA
ENSG00000246090	100507053	LOC100507053	uncharacterized LOC100507053
ENSG00000149599	128853	DUSP15	dual specificity phosphatase 15
ENSG00000140092	10516	FBLN5	fibulin 5
ENSG00000245849	100505648	RAD51-AS1	RAD51 antisense RNA 1
ENSG00000118276	9331	B4GALT6	beta-1,4-galactosyltransferase 6
ENSG00000181778	169693	TMEM252	transmembrane protein 252
ENSG00000136449	84073	MYCBPAP	MYCBP associated protein
ENSG00000101751	11201	POLI	DNA polymerase iota
ENSG00000134352	3572	IL6ST	interleukin 6 cytokine family signal transducer
ENSG00000078814	57644	MYH7B	myosin heavy chain 7B
ENSG00000287647	NA	NA	NA
ENSG00000151655	3698	ITIH2	inter-alpha-trypsin inhibitor heavy chain 2
ENSG00000203280	100128531	KIAA1671-AS1	KIAA1671 antisense RNA 1
ENSG00000100968	4776	NFATC4	nuclear factor of activated T cells 4
ENSG00000124785	51299	NRN1	neuritin 1
ENSG00000173432	6288	SAA1	serum amyloid A1
ENSG00000079435	3991	LIPE	lipase E, hormone sensitive type
ENSG00000177133	440556	PRDM16-DT	PRDM16 divergent transcript
ENSG00000177133	124903827	LOC124903827	translation initiation factor IF-2
ENSG00000105559	57664	PLEKHA4	pleckstrin homology domain containing A4
ENSG00000106006	3203	HOXA6	homeobox A6
ENSG00000181656	54112	GPR88	G protein-coupled receptor 88
ENSG00000184226	5101	PCDH9	protocadherin 9
ENSG00000136457	1101	CHAD	chondroadherin
ENSG00000237773	101927609	LOC101927609	uncharacterized LOC101927609
ENSG00000147113	79742	DIPK2B	divergent protein kinase domain 2B
ENSG00000078596	9452	ITM2A	integral membrane protein 2A
ENSG00000239911	NA	NA	NA
ENSG00000101605	8736	MYOM1	myomesin 1
ENSG00000273409	101929497	LINC02712	long intergenic non-protein coding RNA 2712
ENSG00000291140	201283	AMZ2P1	AMZ2 pseudogene 1
ENSG00000164070	22824	HSPA4L	heat shock protein family A (Hsp70) member 4 like
ENSG00000165478	220296	HEPACAM	hepatic and glial cell adhesion molecule
ENSG00000286722	NA	NA	NA
ENSG00000146374	84870	RSPO3	R-spondin 3
ENSG00000164879	761	CA3	carbonic anhydrase 3
ENSG00000104427	51101	ZC2HC1A	zinc finger C2HC-type containing 1A
ENSG00000184271	5463	POU6F1	POU class 6 homeobox 1
ENSG00000286322	105376020	LOC105376020	uncharacterized LOC105376020
ENSG00000228058	101927532	LINC01736	long intergenic non-protein coding RNA 1736
ENSG00000171462	65989	DLK2	delta like non-canonical Notch ligand 2
ENSG00000103723	8120	AP3B2	adaptor related protein complex 3 subunit beta 2
ENSG00000197748	80217	CFAP43	cilia and flagella associated protein 43
ENSG00000167037	129049	SGSM1	small G protein signaling modulator 1
ENSG00000270876	NA	NA	NA
ENSG00000122591	84668	HYCC1	hyccin PI4KA lipid kinase complex subunit 1
ENSG00000254251	NA	NA	NA
ENSG00000197776	122773	KLHDC1	kelch domain containing 1
ENSG00000063180	770	CA11	carbonic anhydrase 11
ENSG00000266714	80022	MYO15B	myosin XVB
ENSG00000172247	114900	C1QTNF4	C1q and TNF related 4
ENSG00000180929	118442	GPR62	G protein-coupled receptor 62
ENSG00000149575	6327	SCN2B	sodium voltage-gated channel beta subunit 2
ENSG00000066735	26153	KIF26A	kinesin family member 26A
ENSG00000172901	206338	LVRN	laeverin
ENSG00000174099	253827	MSRB3	methionine sulfoxide reductase B3
ENSG00000116396	3749	KCNC4	potassium voltage-gated channel subfamily C member 4
ENSG00000167074	7008	TEF	TEF transcription factor, PAR bZIP family member
ENSG00000283031	NA	NA	NA
ENSG00000129467	196883	ADCY4	adenylate cyclase 4
ENSG00000160460	57731	SPTBN4	spectrin beta, non-erythrocytic 4
ENSG00000053438	4826	NNAT	neuronatin
ENSG00000278376	NA	NA	NA
ENSG00000064309	50937	CDON	cell adhesion associated, oncogene regulated
ENSG00000280294	NA	NA	NA
ENSG00000162998	2487	FRZB	frizzled related protein
ENSG00000280355	NA	NA	NA
ENSG00000288743	105370203	LOC105370203	uncharacterized LOC105370203
ENSG00000103599	64799	IQCH	IQ motif containing H
ENSG00000133392	4629	MYH11	myosin heavy chain 11
ENSG00000230393	NA	NA	NA
ENSG00000249306	101928176	LINC01411	long intergenic non-protein coding RNA 1411
ENSG00000258479	NA	NA	NA
ENSG00000254851	NA	NA	NA
ENSG00000287148	107986443	LINCADL	lincRNA adipogenesis and lipogenesis associated
ENSG00000241288	101927056	LINC02614	long intergenic non-protein coding RNA 2614
ENSG00000167371	112476	PRRT2	proline rich transmembrane protein 2
ENSG00000163710	26577	PCOLCE2	procollagen C-endopeptidase enhancer 2
ENSG00000086289	54749	EPDR1	ependymin related 1
ENSG00000171357	541468	LURAP1	leucine rich adaptor protein 1
ENSG00000267532	100506755	MIR497HG	mir-497-195 cluster host gene
ENSG00000266904	NA	NA	NA
ENSG00000259070	283547	LINC00639	long intergenic non-protein coding RNA 639
ENSG00000121691	847	CAT	catalase
ENSG00000116183	60676	PAPPA2	pappalysin 2
ENSG00000153930	162282	ANKFN1	ankyrin repeat and fibronectin type III domain containing 1
ENSG00000131386	117248	GALNT15	polypeptide N-acetylgalactosaminyltransferase 15
ENSG00000234076	NA	NA	NA
ENSG00000226237	100506834	GAS1RR	GAS1 adjacent regulatory RNA
ENSG00000189184	54510	PCDH18	protocadherin 18
ENSG00000276007	NA	NA	NA
ENSG00000130876	56301	SLC7A10	solute carrier family 7 member 10
ENSG00000077157	4660	PPP1R12B	protein phosphatase 1 regulatory subunit 12B
ENSG00000004846	340273	ABCB5	ATP binding cassette subfamily B member 5
ENSG00000104324	10404	CPQ	carboxypeptidase Q
ENSG00000229487	NA	NA	NA
ENSG00000106511	4223	MEOX2	mesenchyme homeobox 2
ENSG00000268182	147670	SMIM17	small integral membrane protein 17
ENSG00000109107	230	ALDOC	aldolase, fructose-bisphosphate C
ENSG00000084674	338	APOB	apolipoprotein B
ENSG00000272701	317751	MESTIT1	MEST intronic transcript 1, antisense RNA
ENSG00000256139	NA	NA	NA
ENSG00000125675	2892	GRIA3	glutamate ionotropic receptor AMPA type subunit 3
ENSG00000136848	153090	DAB2IP	DAB2 interacting protein
ENSG00000171903	57834	CYP4F11	cytochrome P450 family 4 subfamily F member 11
ENSG00000237574	101927924	LINC01856	long intergenic non-protein coding RNA 1856
ENSG00000013293	57709	SLC7A14	solute carrier family 7 member 14
ENSG00000113971	27031	NPHP3	nephrocystin 3
ENSG00000265369	728606	PCAT18	prostate cancer associated transcript 18
ENSG00000166793	219539	YPEL4	yippee like 4
ENSG00000100307	23492	CBX7	chromobox 7
ENSG00000224424	100506637	PRKAR2A-AS1	PRKAR2A antisense RNA 1
ENSG00000168427	377007	KLHL30	kelch like family member 30
ENSG00000223396	NA	NA	NA
ENSG00000251429	646890	AIDAP2	AIDA pseudogene 2
ENSG00000107562	6387	CXCL12	C-X-C motif chemokine ligand 12
ENSG00000214021	26140	TTLL3	tubulin tyrosine ligase like 3
ENSG00000247934	NA	NA	NA
ENSG00000183346	219621	CABCOCO1	ciliary associated calcium binding coiled-coil 1
ENSG00000197361	283807	FBXL22	F-box and leucine rich repeat protein 22
ENSG00000187398	338645	LUZP2	leucine zipper protein 2
ENSG00000146966	27147	DENND2A	DENN domain containing 2A
ENSG00000123095	79365	BHLHE41	basic helix-loop-helix family member e41
ENSG00000246640	284080	PICART1	p53 inducible cancer associated RNA transcript 1
ENSG00000075035	9671	WSCD2	WSC domain containing 2
ENSG00000176563	124817	CNTD1	cyclin N-terminal domain containing 1
ENSG00000186918	55893	ZNF395	zinc finger protein 395
ENSG00000258655	NA	NA	NA
ENSG00000267078	NA	NA	NA
ENSG00000146038	51473	DCDC2	doublecortin domain containing 2
ENSG00000164035	51705	EMCN	endomucin
ENSG00000126368	9572	NR1D1	nuclear receptor subfamily 1 group D member 1
ENSG00000108370	8787	RGS9	regulator of G protein signaling 9
ENSG00000136114	55901	THSD1	thrombospondin type 1 domain containing 1
ENSG00000122971	35	ACADS	acyl-CoA dehydrogenase short chain
ENSG00000108759	3882	KRT32	keratin 32
ENSG00000186204	66002	CYP4F12	cytochrome P450 family 4 subfamily F member 12
ENSG00000178075	54762	GRAMD1C	GRAM domain containing 1C
ENSG00000134962	152831	KLB	klotho beta
ENSG00000219607	648791	PPP1R3G	protein phosphatase 1 regulatory subunit 3G
ENSG00000235904	NA	NA	NA
ENSG00000233593	105378853	LINC02609	long intergenic non-protein coding RNA 2609
ENSG00000259146	NA	NA	NA
ENSG00000155324	65983	GRAMD2B	GRAM domain containing 2B
ENSG00000131044	164395	TTLL9	tubulin tyrosine ligase like 9
ENSG00000109794	25854	FAM149A	family with sequence similarity 149 member A
ENSG00000140057	122481	AK7	adenylate kinase 7
ENSG00000241520	NA	NA	NA
ENSG00000128573	93986	FOXP2	forkhead box P2
ENSG00000246228	727677	CASC8	cancer susceptibility 8
ENSG00000053702	83714	NRIP2	nuclear receptor interacting protein 2
ENSG00000013297	5010	CLDN11	claudin 11
ENSG00000263272	NA	NA	NA
ENSG00000143320	1382	CRABP2	cellular retinoic acid binding protein 2
ENSG00000291067	NA	NA	NA
ENSG00000261094	NA	NA	NA
ENSG00000165124	79987	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1
ENSG00000270179	NA	NA	NA
ENSG00000240875	730091	LINC00886	long intergenic non-protein coding RNA 886
ENSG00000107518	26033	ATRNL1	attractin like 1
ENSG00000149295	1813	DRD2	dopamine receptor D2
ENSG00000168993	10815	CPLX1	complexin 1
ENSG00000185432	25840	TMT1A	thiol methyltransferase 1A
ENSG00000188163	401565	CIMIP2A	ciliary microtubule inner protein 2A
ENSG00000279205	NA	NA	NA
ENSG00000198046	63934	ZNF667	zinc finger protein 667
ENSG00000169122	90362	FAM110B	family with sequence similarity 110 member B
ENSG00000105784	154661	RUNDC3B	RUN domain containing 3B
ENSG00000168079	286133	SCARA5	scavenger receptor class A member 5
ENSG00000101331	140706	CCM2L	CCM2 like scaffold protein
ENSG00000292223	125906382	ADIPINT	adipocyte associated pyruvate carboxylase interacting lncRNA
ENSG00000065621	119391	GSTO2	glutathione S-transferase omega 2
ENSG00000050165	27122	DKK3	dickkopf WNT signaling pathway inhibitor 3
ENSG00000238198	100996251	LRIG2-DT	LRIG2 divergent transcript
ENSG00000170464	202052	DNAJC18	DnaJ heat shock protein family (Hsp40) member C18
ENSG00000272459	NA	NA	NA
ENSG00000260918	NA	NA	NA
ENSG00000137070	3590	IL11RA	interleukin 11 receptor subunit alpha
ENSG00000164946	158326	FREM1	FRAS1 related extracellular matrix 1
ENSG00000231943	103344932	PGM5P4-AS1	PGM5P4 antisense RNA 1
ENSG00000125378	652	BMP4	bone morphogenetic protein 4
ENSG00000074527	59277	NTN4	netrin 4
ENSG00000151090	7068	THRB	thyroid hormone receptor beta
ENSG00000149591	6876	TAGLN	transgelin
ENSG00000129951	79948	PLPPR3	phospholipid phosphatase related 3
ENSG00000131016	9590	AKAP12	A-kinase anchoring protein 12
ENSG00000183287	147372	CCBE1	collagen and calcium binding EGF domains 1
ENSG00000278934	NA	NA	NA
ENSG00000139330	11081	KERA	keratocan
ENSG00000144451	79582	SPAG16	sperm associated antigen 16
ENSG00000072133	27330	RPS6KA6	ribosomal protein S6 kinase A6
ENSG00000124942	79026	AHNAK	AHNAK nucleoprotein
ENSG00000161653	162417	NAGS	N-acetylglutamate synthase
ENSG00000197565	1288	COL4A6	collagen type IV alpha 6 chain
ENSG00000137285	347733	TUBB2B	tubulin beta 2B class IIb
ENSG00000114270	1294	COL7A1	collagen type VII alpha 1 chain
ENSG00000154330	5239	PGM5	phosphoglucomutase 5
ENSG00000227544	100506725	LINC03013	long intergenic non-protein coding RNA 3013
ENSG00000172465	9338	TCEAL1	transcription elongation factor A like 1
ENSG00000268087	NA	NA	NA
ENSG00000137726	53826	FXYD6	FXYD domain containing ion transport regulator 6
ENSG00000102683	6445	SGCG	sarcoglycan gamma
ENSG00000280163	NA	NA	NA
ENSG00000163617	57577	CCDC191	coiled-coil domain containing 191
ENSG00000198944	134548	SOWAHA	sosondowah ankyrin repeat domain family member A
ENSG00000174059	947	CD34	CD34 molecule
ENSG00000287338	NA	NA	NA
ENSG00000276365	406937	MIR145	microRNA 145
ENSG00000128422	3872	KRT17	keratin 17
ENSG00000163285	2565	GABRG1	gamma-aminobutyric acid type A receptor subunit gamma1
ENSG00000101280	51378	ANGPT4	angiopoietin 4
ENSG00000065618	1308	COL17A1	collagen type XVII alpha 1 chain
ENSG00000271474	NA	NA	NA
ENSG00000140718	79068	FTO	FTO alpha-ketoglutarate dependent dioxygenase
ENSG00000141431	80816	ASXL3	ASXL transcriptional regulator 3
ENSG00000135917	80704	SLC19A3	solute carrier family 19 member 3
ENSG00000290960	650368	TSSC2	tumor suppressing subtransferable candidate 2 (pseudogene)
ENSG00000273253	NA	NA	NA
ENSG00000274286	151	ADRA2B	adrenoceptor alpha 2B
ENSG00000169550	143662	MUC15	mucin 15, cell surface associated
ENSG00000279254	NA	NA	NA
ENSG00000160182	7031	TFF1	trefoil factor 1
ENSG00000134258	79679	VTCN1	V-set domain containing T cell activation inhibitor 1
ENSG00000113231	8622	PDE8B	phosphodiesterase 8B
ENSG00000207563	407011	MIR23B	microRNA 23b
ENSG00000134548	80763	SPX	spexin hormone
ENSG00000266256	284276	LINC00908	long intergenic non-protein coding RNA 908
ENSG00000266256	400660	LINC00683	long intergenic non-protein coding RNA 683
ENSG00000109101	8456	FOXN1	forkhead box N1
ENSG00000117477	57821	CCDC181	coiled-coil domain containing 181
ENSG00000166405	79608	RIC3	RIC3 acetylcholine receptor chaperone
ENSG00000270959	339929	LPP-AS2	LPP antisense RNA 2
ENSG00000179476	122525	C14orf28	chromosome 14 open reading frame 28
ENSG00000290782	142913	CFL1P1	cofilin 1 pseudogene 1
ENSG00000145002	653333	FAM86B2	family with sequence similarity 86 member B2
ENSG00000170324	143162	FRMPD2	FERM and PDZ domain containing 2
ENSG00000134762	1825	DSC3	desmocollin 3
ENSG00000238099	645434	LINC01625	long intergenic non-protein coding RNA 1625
ENSG00000226745	NA	NA	NA
ENSG00000138738	11107	PRDM5	PR/SET domain 5
ENSG00000225778	219731	PROSER2-AS1	PROSER2 antisense RNA 1
ENSG00000231789	101929074	PIK3CD-AS2	PIK3CD antisense RNA 2
ENSG00000147576	137872	ADHFE1	alcohol dehydrogenase iron containing 1
ENSG00000253368	388610	TRNP1	TMF1 regulated nuclear protein 1
ENSG00000277270	NA	NA	NA
ENSG00000105695	4099	MAG	myelin associated glycoprotein
ENSG00000234459	NA	NA	NA
ENSG00000235584	NA	NA	NA
ENSG00000149043	90019	SYT8	synaptotagmin 8
ENSG00000185053	137868	SGCZ	sarcoglycan zeta
ENSG00000162817	79762	C1orf115	chromosome 1 open reading frame 115
ENSG00000116729	79971	WLS	Wnt ligand secretion mediator
ENSG00000150750	341032	POU2AF2	POU class 2 homeobox associating factor 2
ENSG00000203392	NA	NA	NA
ENSG00000173253	10655	DMRT2	doublesex and mab-3 related transcription factor 2
ENSG00000069020	375449	MAST4	microtubule associated serine/threonine kinase family member 4
ENSG00000011465	1634	DCN	decorin
ENSG00000159433	57519	STARD9	StAR related lipid transfer domain containing 9
ENSG00000251615	NA	NA	NA
ENSG00000286250	NA	NA	NA
ENSG00000273274	728116	ZBTB8B	zinc finger and BTB domain containing 8B
ENSG00000172733	29942	PURG	purine rich element binding protein G
ENSG00000284730	112163659	TMDD1	transmembrane and death domain 1
ENSG00000184185	3768	KCNJ12	potassium inwardly rectifying channel subfamily J member 12
ENSG00000267710	100506374	EDDM13	epididymal protein 13
ENSG00000267710	124900420	LOC124900420	uncharacterized LOC124900420
ENSG00000164089	64850	ETNPPL	ethanolamine-phosphate phospho-lyase
ENSG00000166257	55800	SCN3B	sodium voltage-gated channel beta subunit 3
ENSG00000149489	6094	ROM1	retinal outer segment membrane protein 1
ENSG00000168269	2299	FOXI1	forkhead box I1
ENSG00000180769	404201	WDFY3-AS2	WDFY3 antisense RNA 2
ENSG00000290397	NA	NA	NA
ENSG00000226031	100129662	FGF13-AS1	FGF13 antisense RNA 1
ENSG00000069188	54549	SDK2	sidekick cell adhesion molecule 2
ENSG00000290538	NA	NA	NA
ENSG00000165443	84457	PHYHIPL	phytanoyl-CoA 2-hydroxylase interacting protein like
ENSG00000102001	778	CACNA1F	calcium voltage-gated channel subunit alpha1 F
ENSG00000138606	90525	SHF	Src homology 2 domain containing F
ENSG00000272983	NA	NA	NA
ENSG00000133169	55859	BEX1	brain expressed X-linked 1
ENSG00000172830	54961	SSH3	slingshot protein phosphatase 3
ENSG00000260917	103344931	LOC103344931	uncharacterized LOC103344931
ENSG00000132702	60484	HAPLN2	hyaluronan and proteoglycan link protein 2
ENSG00000184347	6586	SLIT3	slit guidance ligand 3
ENSG00000108953	7531	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
ENSG00000159307	80274	SCUBE1	signal peptide, CUB domain and EGF like domain containing 1
ENSG00000103852	64927	TTC23	tetratricopeptide repeat domain 23
ENSG00000184465	253769	WDR27	WD repeat domain 27
ENSG00000105270	25999	CLIP3	CAP-Gly domain containing linker protein 3
ENSG00000229994	643343	RPL5P4	ribosomal protein L5 pseudogene 4
ENSG00000172461	10690	FUT9	fucosyltransferase 9
ENSG00000165072	256691	MAMDC2	MAM domain containing 2
ENSG00000168589	83657	DYNLRB2	dynein light chain roadblock-type 2
ENSG00000158246	115572	TENT5B	terminal nucleotidyltransferase 5B
ENSG00000197766	1675	CFD	complement factor D
ENSG00000146416	51390	AIG1	androgen induced 1
ENSG00000199161	406913	MIR126	microRNA 126
ENSG00000196159	79633	FAT4	FAT atypical cadherin 4
ENSG00000226926	105379197	PDZPH1P	PDZ and pleckstrin homology domains 1, pseudogene
ENSG00000175544	57010	CABP4	calcium binding protein 4
ENSG00000269054	NA	NA	NA
ENSG00000279587	NA	NA	NA
ENSG00000214783	84820	POLR2J4	RNA polymerase II subunit J4 (pseudogene)
ENSG00000229619	401093	MBNL1-AS1	MBNL1 antisense RNA 1
ENSG00000123243	80760	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5
ENSG00000188747	10811	NOXA1	NADPH oxidase activator 1
ENSG00000155099	55529	PIP4P2	phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2
ENSG00000116194	9068	ANGPTL1	angiopoietin like 1
ENSG00000172296	55304	SPTLC3	serine palmitoyltransferase long chain base subunit 3
ENSG00000213904	100996307	LIPE-AS1	LIPE antisense RNA 1
ENSG00000213904	101930071	LOC101930071	uncharacterized LOC101930071
ENSG00000236054	NA	NA	NA
ENSG00000188783	5549	PRELP	proline and arginine rich end leucine rich repeat protein
ENSG00000186523	85002	FAM86B1	family with sequence similarity 86 member B1
ENSG00000240541	100874091	TM4SF1-AS1	TM4SF1 antisense RNA 1
ENSG00000230303	NA	NA	NA
ENSG00000290722	100631378	WDR87BP	WD repeat domain 87B, pseudogene
ENSG00000283023	NA	NA	NA
ENSG00000105996	3199	HOXA2	homeobox A2
ENSG00000244560	NA	NA	NA
ENSG00000254862	105376671	LGR4-AS1	LGR4 antisense RNA 1
ENSG00000172403	171024	SYNPO2	synaptopodin 2
ENSG00000164107	9464	HAND2	heart and neural crest derivatives expressed 2
ENSG00000291049	286042	FAM86B3P	family with sequence similarity 86, member A pseudogene
ENSG00000164303	133121	ENPP6	ectonucleotide pyrophosphatase/phosphodiesterase 6
ENSG00000148541	220965	FAM13C	family with sequence similarity 13 member C
ENSG00000120738	1958	EGR1	early growth response 1
ENSG00000221953	388759	LINC02897	long intergenic non-protein coding RNA 2897
ENSG00000153303	79981	FRMD1	FERM domain containing 1
ENSG00000205517	57139	RGL3	ral guanine nucleotide dissociation stimulator like 3
ENSG00000050628	5733	PTGER3	prostaglandin E receptor 3
ENSG00000258711	NA	NA	NA
ENSG00000255495	NA	NA	NA
ENSG00000287404	NA	NA	NA
ENSG00000177432	266812	NAP1L5	nucleosome assembly protein 1 like 5
ENSG00000169291	126669	SHE	Src homology 2 domain containing E
ENSG00000099957	9127	P2RX6	purinergic receptor P2X 6
ENSG00000155816	56776	FMN2	formin 2
ENSG00000253955	285593	LINC02995	long intergenic non-protein coding RNA 2995
ENSG00000175164	28	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
ENSG00000151303	NA	NA	NA
ENSG00000162407	8613	PLPP3	phospholipid phosphatase 3
ENSG00000146054	81786	TRIM7	tripartite motif containing 7
ENSG00000226767	NA	NA	NA
ENSG00000197181	55124	PIWIL2	piwi like RNA-mediated gene silencing 2
ENSG00000183695	117194	MRGPRX2	MAS related GPR family member X2
ENSG00000109686	152503	SH3D19	SH3 domain containing 19
ENSG00000204071	158931	TCEAL6	transcription elongation factor A like 6
ENSG00000107186	8777	MPDZ	multiple PDZ domain crumbs cell polarity complex component
ENSG00000229116	NA	NA	NA
ENSG00000186452	283471	TMPRSS12	transmembrane serine protease 12
ENSG00000131067	2686	GGT7	gamma-glutamyltransferase 7
ENSG00000144230	2840	GPR17	G protein-coupled receptor 17
ENSG00000104888	57030	SLC17A7	solute carrier family 17 member 7
ENSG00000120907	148	ADRA1A	adrenoceptor alpha 1A
ENSG00000229321	NA	NA	NA
ENSG00000102796	79758	DHRS12	dehydrogenase/reductase 12
ENSG00000272810	NA	NA	NA
ENSG00000273007	NA	NA	NA
ENSG00000146938	57502	NLGN4X	neuroligin 4 X-linked
ENSG00000125878	6939	TCF15	transcription factor 15
ENSG00000287232	124909426	LOC124909426	uncharacterized LOC124909426
ENSG00000144619	152330	CNTN4	contactin 4
ENSG00000198939	80108	ZFP2	ZFP2 zinc finger protein
ENSG00000272784	NA	NA	NA
ENSG00000250903	100508120	GMDS-DT	GMDS divergent transcript
ENSG00000234465	390940	PINLYP	phospholipase A2 inhibitor and LY6/PLAUR domain containing
ENSG00000231367	101929596	LINC02613	long intergenic non-protein coding RNA 2613
ENSG00000123612	130399	ACVR1C	activin A receptor type 1C
ENSG00000112902	9037	SEMA5A	semaphorin 5A
ENSG00000130518	80726	IQCN	IQ motif containing N
ENSG00000090539	8646	CHRD	chordin
ENSG00000141337	22901	ARSG	arylsulfatase G
ENSG00000266964	5348	FXYD1	FXYD domain containing ion transport regulator 1
ENSG00000134853	5156	PDGFRA	platelet derived growth factor receptor alpha
ENSG00000214128	155006	TMEM213	transmembrane protein 213
ENSG00000253434	105375706	LINC02237	long intergenic non-protein coding RNA 2237
ENSG00000253434	105375707	LOC105375707	uncharacterized LOC105375707
ENSG00000215030	388344	RPL13P12	ribosomal protein L13 pseudogene 12
ENSG00000104213	5157	PDGFRL	platelet derived growth factor receptor like
ENSG00000214944	64283	ARHGEF28	Rho guanine nucleotide exchange factor 28
ENSG00000287342	105375118	LOC105375118	uncharacterized LOC105375118
ENSG00000267082	105372273	DOCK6-AS1	DOCK6 antisense RNA 1
ENSG00000124593	NA	NA	NA
ENSG00000185610	440097	DBX2	developing brain homeobox 2
ENSG00000272491	NA	NA	NA
ENSG00000036530	10858	CYP46A1	cytochrome P450 family 46 subfamily A member 1
ENSG00000244227	646168	LRRC77P	leucine rich repeat containing 77, pseudogene
ENSG00000165379	145581	LRFN5	leucine rich repeat and fibronectin type III domain containing 5
ENSG00000173269	79812	MMRN2	multimerin 2
ENSG00000178363	810	CALML3	calmodulin like 3
ENSG00000276728	NA	NA	NA
ENSG00000164675	154865	IQUB	IQ motif and ubiquitin domain containing
ENSG00000123689	50486	G0S2	G0/G1 switch 2
ENSG00000291176	NA	NA	NA
ENSG00000265666	101929693	RARA-AS1	RARA antisense RNA 1
ENSG00000118729	845	CASQ2	calsequestrin 2
ENSG00000141447	114876	OSBPL1A	oxysterol binding protein like 1A
ENSG00000185559	8788	DLK1	delta like non-canonical Notch ligand 1
ENSG00000143994	84696	ABHD1	abhydrolase domain containing 1
ENSG00000171016	26108	PYGO1	pygopus family PHD finger 1
ENSG00000144642	27303	RBMS3	RNA binding motif single stranded interacting protein 3
ENSG00000067113	8611	PLPP1	phospholipid phosphatase 1
ENSG00000056487	112885	PHF21B	PHD finger protein 21B
ENSG00000116016	2034	EPAS1	endothelial PAS domain protein 1
ENSG00000109436	23158	TBC1D9	TBC1 domain family member 9
ENSG00000260230	23732	FRRS1L	ferric chelate reductase 1 like
ENSG00000153237	130940	CCDC148	coiled-coil domain containing 148
ENSG00000196427	148545	NBPF4	NBPF member 4
ENSG00000069122	221395	ADGRF5	adhesion G protein-coupled receptor F5
ENSG00000233760	100506289	LINC03095	long intergenic non-protein coding RNA 3095
ENSG00000274105	NA	NA	NA
ENSG00000278962	NA	NA	NA
ENSG00000233725	121838	NRAD1	non-coding RNA in the aldehyde dehydrogenase 1A pathway
